Carimbo de data/hora;ID;Selecionado;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Qual a sua especialidade?;Você já tem equipe formada?;Se sim, conte-nos quem são:;Time
03/11/2016 18:55:05;102;N;M;Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto (FEA-RP);Economia Empresarial e Controladoria;Pós-graduação;1;Negócios;Não;;0
12/10/2016 21:01:35;66;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2º ano;2;Desenvolvedor;Sim;20, 30, 60, 66, 85;5
12/10/2016 21:01:57;45;S;M;Escola Politécnica (Poli);Engenharia Elétrica;3º ano;0;Desenvolvedor;Sim;43, 45, 80;10
12/10/2016 21:02:06;20;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2º ano;2;Desenvolvedor;Sim;20, 30, 60, 66, 85;5
12/10/2016 21:02:17;36;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1º ano;1;Designer;Não;;0
12/10/2016 21:02:21;60;S;M;Escola Politécnica (Poli);Engenharia Elétrica;2º ano;1;Desenvolvedor;Sim;20, 30, 60, 66, 85;5
12/10/2016 21:02:37;40;S;M;Escola de Engenharia de São Carlos (EESC);Engenharia de Produção;5º ano;0;Negócios;Sim;2, 40, 86, 89;4
12/10/2016 21:02:40;55;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3º ano;0;Desenvolvedor;Sim;;0
12/10/2016 21:02:47;90;S;F;Faculdade de Economia, Administração e Contabilidade (FEA);Administração;3º ano;0;Negócios;Não;;0
12/10/2016 21:02:49;97;S;M;Escola Politécnica (Poli);Engenharia Elétrica;5º ano;0;Desenvolvedor;Sim;10, 97;2
12/10/2016 21:02:49;24;S;M;Escola Politécnica (Poli);Engenharia Elétrica;3º ano;1;Desenvolvedor;Sim;11, 24, 26;3
