Carimbo de data/hora;ID;Selecionado;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Qual a sua especialidade?;Você já tem equipe formada?;Se sim, conte-nos quem são:;Time
2017/07/19 10:01:15 PM GMT-3;28;N;M;Faculdade de Arquitetura e Urbanismo (FAU);Design;3° ano;2;Designer;Não;;0
2017/07/19 10:08:53 PM GMT-3;50;N;?;Escola Politécnica (Poli);Engenharia Elétrica;2° ano;0;Desenvolvedor;Não;;0
2017/07/19 10:09:40 PM GMT-3;95;N;F;Faculdade de Ciências Farmacêuticas (FCF);Farmácia e Bioquímica ;4° ano;0;Negócios;Não;;0
2017/07/19 10:19:14 PM GMT-3;111;N;M;Não USP;Segurança da Informação ;1° ano;0;Negócios;Não;;0
2017/07/19 10:27:47 PM GMT-3;86;S;M;Escola Politécnica (Poli);Engenharia Elétrica;1° ano;0;Desenvolvedor;Sim;14, 86, 105, 107;6
2017/07/19 11:30:43 PM GMT-3;99;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;0;Desenvolvedor;Sim;41, 99, 100;16
2017/07/19 11:41:54 PM GMT-3;56;S;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;0;Desenvolvedor;Não;;0
2017/07/19 9:03:16 PM GMT-3;17;S;M;Escola Politécnica (Poli);Engenharia Elétrica;3° ano;2;Desenvolvedor;Sim;17, 35, 79, 81;9
2017/07/19 9:03:18 PM GMT-3;30;S;F;Escola Politécnica (Poli);Engenharia Elétrica;3° ano;1;Desenvolvedor;Sim;30, 32, 43, 106;12
2017/07/19 9:03:50 PM GMT-3;106;S;M;Curso de Ciências Moleculares (CCM);Curso de Ciências Moleculares;3° ano;2;Desenvolvedor;Sim;30, 32, 43, 106;12
