Carimbo de data/hora;ID;Selecionado;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Qual a sua especialidade?;Você já tem equipe formada?;Se sim, conte-nos quem são:;Time;Em que universidade você estuda (ou estudou)?
18/10/2017 20:57:02;89;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Negócios;Sim;34, 89, 106, 133;16;
18/10/2017 20:59:53;99;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;3° ano;2;Desenvolvedor;Sim;99, 135;33;
18/10/2017 21:02:25;161;S;M;Escola de Artes, Ciências e Humanidades (EACH);Pedagogia;3° ano;5;Desenvolvedor;Sim;10, 161;2;
18/10/2017 21:02:39;34;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Desenvolvedor;Sim;34, 89, 106, 133;16;
18/10/2017 21:54:54;62;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;2;Desenvolvedor;Sim;62, 118, 123;27;
18/10/2017 21:59:08;133;S;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Desenvolvedor;Sim;34, 89, 106, 133;16;
18/10/2017 22:23:36;5;S;F;Escola de Artes, Ciências e Humanidades (EACH);Gestão Ambiental;1° ano;0;Designer;Não;;0;
19/10/2017 18:57:27;24;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;2;Desenvolvedor;Sim;24, 48, 67, 164;12;
19/10/2017 19:04:32;164;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;1;Desenvolvedor;Sim;24, 48, 67, 164;12;
19/10/2017 19:42:35;67;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;1;Desenvolvedor;Sim;24, 48, 67, 164;12;
19/10/2017 21:37:07;48;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;1;Negócios;Sim;24, 48, 67, 164;12;
22/10/2017 14:24:29;21;N;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;0;Desenvolvedor;Não;;0;
