horario,inscritos
16/05/2018 16:06:10,1
16/05/2018 18:47:09,2
16/05/2018 18:47:13,3
16/05/2018 18:48:34,4
16/05/2018 18:48:51,5
16/05/2018 18:49:15,6
16/05/2018 18:49:47,7
16/05/2018 18:51:37,8
16/05/2018 18:52:32,9
16/05/2018 18:53:27,10
16/05/2018 18:53:30,11
16/05/2018 18:53:39,12
16/05/2018 18:54:01,13
16/05/2018 18:55:12,14
16/05/2018 18:55:20,15
16/05/2018 18:55:24,16
16/05/2018 18:55:32,17
16/05/2018 18:55:59,18
16/05/2018 18:56:19,19
16/05/2018 18:56:38,20
16/05/2018 18:56:39,21
16/05/2018 18:56:41,22
16/05/2018 18:58:14,23
16/05/2018 18:58:44,24
16/05/2018 19:00:43,25
16/05/2018 19:00:53,26
16/05/2018 19:01:54,27
16/05/2018 19:01:56,28
16/05/2018 19:02:20,29
16/05/2018 19:02:56,30
16/05/2018 19:02:57,31
16/05/2018 19:03:20,32
16/05/2018 19:03:20,33
16/05/2018 19:03:28,34
16/05/2018 19:03:36,35
16/05/2018 19:03:36,36
16/05/2018 19:03:48,37
16/05/2018 19:03:49,38
16/05/2018 19:03:52,39
16/05/2018 19:03:58,40
16/05/2018 19:04:00,41
16/05/2018 19:04:35,42
16/05/2018 19:05:00,43
16/05/2018 19:05:10,44
16/05/2018 19:05:17,45
16/05/2018 19:05:18,46
16/05/2018 19:05:23,47
16/05/2018 19:05:35,48
16/05/2018 19:05:41,49
16/05/2018 19:05:43,50
16/05/2018 19:05:47,51
16/05/2018 19:05:54,52
16/05/2018 19:06:25,53
16/05/2018 19:06:29,54
16/05/2018 19:06:33,55
16/05/2018 19:06:58,56
16/05/2018 19:07:36,57
16/05/2018 19:08:22,58
16/05/2018 19:08:27,59
16/05/2018 19:08:32,60
16/05/2018 19:08:36,61
16/05/2018 19:08:47,62
16/05/2018 19:09:38,63
16/05/2018 19:09:43,64
16/05/2018 19:10:57,65
16/05/2018 19:11:18,66
16/05/2018 19:11:34,67
16/05/2018 19:11:36,68
16/05/2018 19:12:54,69
16/05/2018 19:13:04,70
16/05/2018 19:13:16,71
16/05/2018 19:14:09,72
16/05/2018 19:15:24,73
16/05/2018 19:16:57,74
16/05/2018 19:17:37,75
16/05/2018 19:17:53,76
16/05/2018 19:18:16,77
16/05/2018 19:18:29,78
16/05/2018 19:18:30,79
16/05/2018 19:19:27,80
16/05/2018 19:19:29,81
16/05/2018 19:20:12,82
16/05/2018 19:20:22,83
16/05/2018 19:20:30,84
16/05/2018 19:22:55,85
16/05/2018 19:23:32,86
16/05/2018 19:24:08,87
16/05/2018 19:26:30,88
16/05/2018 19:28:06,89
16/05/2018 19:28:25,90
16/05/2018 19:30:14,91
16/05/2018 19:30:42,92
16/05/2018 19:31:10,93
16/05/2018 19:31:11,94
16/05/2018 19:31:14,95
16/05/2018 19:31:59,96
16/05/2018 19:32:41,97
16/05/2018 19:32:54,98
16/05/2018 19:34:18,99
16/05/2018 19:35:26,100
16/05/2018 19:37:03,101
16/05/2018 19:37:11,102
16/05/2018 19:37:50,103
16/05/2018 19:38:25,104
16/05/2018 19:39:41,105
16/05/2018 19:39:53,106
16/05/2018 19:41:54,107
16/05/2018 19:42:10,108
16/05/2018 19:42:59,109
16/05/2018 19:43:17,110
16/05/2018 19:43:20,111
16/05/2018 19:44:13,112
16/05/2018 19:44:28,113
16/05/2018 19:44:57,114
16/05/2018 19:46:34,115
16/05/2018 19:46:58,116
16/05/2018 19:47:17,117
16/05/2018 19:47:29,118
16/05/2018 19:48:25,119
16/05/2018 19:48:43,120
16/05/2018 19:51:07,121
16/05/2018 19:53:57,122
16/05/2018 19:55:09,123
16/05/2018 19:56:16,124
16/05/2018 19:58:34,125
16/05/2018 20:07:55,126
16/05/2018 20:09:43,127
16/05/2018 20:10:04,128
16/05/2018 20:10:05,129
16/05/2018 20:11:20,130
16/05/2018 20:12:52,131
16/05/2018 20:13:42,132
16/05/2018 20:15:00,133
16/05/2018 20:17:27,134
16/05/2018 20:17:33,135
16/05/2018 20:21:25,136
16/05/2018 20:22:14,137
16/05/2018 20:22:54,138
16/05/2018 20:25:52,139
16/05/2018 20:28:30,140
16/05/2018 20:30:53,141
16/05/2018 20:33:03,142
16/05/2018 20:34:56,143
16/05/2018 20:36:48,144
