Edição;Carimbo de data/hora;ID;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Qual a sua especialidade?;Você já tem equipe formada?;Time;Selecionado
2017.1;2017/07/20 8:51:18 AM ;89;F;Não USP;Análise e Desenvolvimento de Sistemas;2° ano;1;Desenvolvedor;Não;0;N
2016.1;25/07/2016 09:18:05;29;M;Faculdade de Arquitetura e Urbanismo (FAU);Arquitetura e Urbanismo;5º ano ou mais;0;Designer;Sim;42;N
2016.1;24/07/2016 21:24:43;48;F;Faculdade de Arquitetura e Urbanismo (FAU);Arquitetura e Urbanismo;5º ano ou mais;0;Designer;Sim;37;S
2016.1;26/07/2016 12:18:19;110;F;Faculdade de Arquitetura e Urbanismo (FAU);Arquitetura e Urbanismo;5º ano ou mais;0;Designer;Sim;6;N
2016.1;24/07/2016 21:17:01;141;F;Faculdade de Arquitetura e Urbanismo (FAU);Arquitetura e Urbanismo;5º ano ou mais;0;Designer;Sim;42;N
2016.2;12/10/2016 21:02:47;90;F;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;3º ano;0;Negócios;Não;0;S
2018.1;16/05/2018 19:31:11;202;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;3° ano;0;Negócios;Não;0;N
2018.1;16/05/2018 19:56:16;207;F;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;2° ano;0;Negócios;Sim;25;N
2018.1;16/05/2018 21:31:21;234;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;2° ano;0;Negócios;Não;0;N
2018.1;17/05/2018 13:21:40;285;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;2° ano;0;Negócios;Não;0;N
2018.1;16/05/2018 19:53:57;167;F;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;2° ano;0;Negócios;Sim;25;N
2018.1;17/05/2018 17:21:57;360;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;2° ano;0;Negócios;Sim;0;N
2016.2;12/10/2016 21:03:20;35;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;2º ano;0;Negócios;Não;0;S
2016.1;24/07/2016 21:08:16;10;F;Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto (FEA-RP);Bacharelado em Administração;2º ano;0;Empreendedor/Negócios;Não;0;N
2016.1;27/07/2016 09:26:40;17;F;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;1º ano;0;Empreendedor/Negócios;Sim;20;N
2016.1;27/07/2016 09:22:48;150;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;1º ano;0;Empreendedor/Negócios;Sim;20;N
2016.1;24/07/2016 21:58:44;168;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;4º ano;0;Empreendedor/Negócios;Não;0;N
2016.1;27/07/2016 09:27:40;179;F;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;1º ano;0;Desenvolvedor;Sim;20;N
2016.1;27/07/2016 12:03:40;189;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;1º ano;0;Empreendedor/Negócios;Sim;20;N
2016.1;24/07/2016 21:04:35;195;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;4º ano;0;Empreendedor/Negócios;Não;0;S
2016.1;27/07/2016 23:43:56;196;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;2º ano;0;Empreendedor/Negócios;Não;0;N
2016.1;27/07/2016 21:41:03;219;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;2º ano;0;Empreendedor/Negócios;Não;0;N
2016.1;27/07/2016 23:28:31;222;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;5º ano ou mais;0;Empreendedor/Negócios;Não;0;N
2016.1;26/07/2016 17:20:35;268;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;1º ano;0;Empreendedor/Negócios;Não;0;N
2016.1;27/07/2016 21:49:10;278;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;1º ano;0;Negócios;Não;0;N
2016.1;24/07/2016 22:10:33;311;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;3º ano;0;Empreendedor/Negócios;Não;46;N
2016.1;24/07/2016 21:56:13;315;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;3º ano;0;Empreendedor/Negócios;Não;0;N
2016.1;26/07/2016 15:39:27;367;F;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;1º ano;0;Empreendedor/Negócios;Não;0;N
2016.1;26/07/2016 23:50:16;375;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;1º ano;0;Empreendedor/Negócios;Não;0;N
2016.1;24/07/2016 21:07:03;417;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;4º ano;0;Empreendedor/Negócios;Não;0;N
2016.1;24/07/2016 21:07:32;420;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;1º ano;0;Empreendedor/Negócios;Não;0;N
2016.1;26/07/2016 14:45:38;441;F;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;1º ano;0;Empreendedor/Negócios;Não;0;N
2016.1;27/07/2016 23:50:08;512;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;5º ano ou mais;0;Empreendedor/Negócios;Sim;53;N
2016.1;24/07/2016 22:15:07;516;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;3º ano;0;Empreendedor/Negócios;Sim;46;N
2017.1;2017/07/22 11:14:21 AM ;39;F;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;1° ano;0;Negócios;Não;0;N
2017.1;2017/07/21 11:09:51 AM ;48;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;4° ano;0;Negócios;Sim;19;N
2017.1;2017/07/28 8:19:46 PM ;108;?;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;Pós-graduação;0;Negócios;Não;0;N
2017.2;18/10/2017 21:07:32;55;M;Faculdade de Economia, Administração e Contabilidade de Ribeirão Preto (FEA-RP);Bacharelado em Administração;5° ano ou mais;1;Negócios;Sim;25;S
2017.2;18/10/2017 23:20:17;117;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;1° ano;0;Negócios;Não;0;N
2016.1;24/07/2016 21:04:42;7;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano ou mais;0;Desenvolvedor;Não;0;S
2016.1;24/07/2016 21:07:42;21;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4º ano;1;Desenvolvedor;Sim;25;N
2016.1;24/07/2016 21:03:50;25;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;5º ano ou mais;0;Desenvolvedor;Não;0;S
2016.1;27/07/2016 22:39:14;31;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;5º ano ou mais;0;Desenvolvedor;Sim;0;N
2016.1;25/07/2016 08:37:10;34;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;5º ano ou mais;0;Desenvolvedor;Não;0;N
2016.1;27/07/2016 16:26:04;38;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4º ano;2;Desenvolvedor;Não;0;N
2016.1;26/07/2016 11:40:43;42;?;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4º ano;0;Empreendedor/Negócios;Não;0;N
2016.1;24/07/2016 21:15:32;43;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3º ano;0;Desenvolvedor;Não;0;N
2016.1;09/08/2016 19:55:46;46;F;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Não;54;S
2016.1;24/07/2016 21:03:11;51;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;1;Desenvolvedor;Sim;56;S
2016.1;09/08/2016 22:57:08;56;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1º ano;0;Desenvolvedor;Sim;54;S
2016.1;25/07/2016 11:34:02;63;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;5º ano ou mais;2;Desenvolvedor;Sim;0;N
